Municipality,Population,Votedyes,Votedno,Voted,DidNotVote,Affected1984,Affected1985,Affected1986,Affected1987,Affected1988,Affected1989,Affected1990,Affected1991,Affected1992,Affected1993,Affected1994,Affected1995,Affected1996,Affected1997,Affected1998,Affected1999,Affected2000,Affected2001,Affected2002,Affected2003,Affected2004,Affected2005,Affected2006,Affected2007,Affected2008,Affected2009,Affected2010,Affected2011,Affected2012,Affected2013,Affected2014,Affected2015,Affected2016,Affected2017,Weightedaffected84to2002,Weightedaffected2003to2016,Weightedaffected,Affected9999,Total_affected,affected84to2002,affected2003to2016,Divipola,Departamento,Municipio,Rurality2010,PovertyIndex2013,IDHMpnud2010,ArmedGroups,Rezagoescolar,COBERTURA_NETA_MEDIA,ProportionAffected,ProporTotAff,Weightedaffected10group,ConflictIndex,ndicedeindicenciadelconflictocategora,ConflictCategory
25269,134522,41.11,58.88,53.94,46.06,16, , , , , ,3,5,10,4,8, ,3,12,24,4,30,23,47,68,46,53,28,54,77,8,1,10,27,25,27,32,34, ,377530,984058,1361588, ,679,189,490,25269,Cundinamarca,Facatativá,0.221,0.8713,0.681484826,0,28.1,44.87,10.12167527,0.005047502,3,0.00415878,Bajo,1
25279,12234,28.84,71.15,42.02,57.98,4, , , , , , ,2,12,8, , ,7,5,3,1, ,29,69,31,8,32,9,10,33,7, ,8,8,15,8,6,3, ,279883,357365,637248, ,318,140,178,25279,Cundinamarca,Fomeque,0.4735,0.7103,0.710428765,0,19.6,52.99,52.08827857,0.025993134,2,0.005700089,Bajo,1
25281,7630,21.86,78.13,36.87,63.13, , , , , , , , , ,33, ,14, ,12,2,15,10,39,26,17,7,17,14,10,6,4, , ,4, , , , , ,301735,158450,460185, ,230,151,79,25281,Cundinamarca,Fosca,0.403,0.7128,0.636394393,0,34.9,28.42,60.31258191,0.030144168,2,0.002723327,Bajo,1
25286,76742,43.87,56.12,51.27,48.73, , , , ,5, , , , , ,5,4, ,1, , ,1,18,20,7,4,1,21,6,9, , ,4,24,22,10, , , ,107945,217040,324985, ,162,54,108,25286,Cundinamarca,Funza,0.1989,0.9027,0.71800633,0,29.7,69.03,4.234773657,0.002110969,2,0.002297318,Bajo,1
25288,5669,48.28,51.71,42.06,57.94, , , , , , ,4, , , , , , , , ,1, , ,3, ,1,4, , , , , , , ,2, , , , ,15965,14050,30015, ,15,8,7,25288,Cundinamarca,Fúquene,0.434,0.7072,0.694310059,0,23.7,70.56,5.294584583,0.002645969,1,0.001666566,Bajo,1
25290,137164,43.4,56.59,43.26,56.74,54,7, ,22,9,6,16,70,15,15,8,40,30,47,74,82,170,290,298,448,332,317,277,244,231,114,78,54,64,63,91,71,32,27,2503703,4848313,7352016, ,3696,1253,2416,25290,Cundinamarca,Fusagasugá,0.2317,0.7448,0.659366917,0,24.5,61.61,53.60018664,0.026945846,6,0.009005208,Medio bajo,2
25293,5701,48.13,51.86,30.45,69.55,13, , ,3,15, , ,9,21,14,5,9,33,66,43,14,26,27,29,131,103,59,57,54,21,13, ,4,4,2,19,13,2,2,652806,966716,1619522, ,811,327,482,25293,Cundinamarca,Gachala,0.5284,0.7144,0.647670032,0,26.5,34.45,284.0768286,0.142255745,3,0.015218725,Medio bajo,2
25295,14831,37.89,62.1,51.66,48.34, , , , , , , , , , , ,1, , , , , , ,3, , , ,4, , , , , ,9, , , , , ,8001,26132,34133, ,17,4,13,25295,Cundinamarca,Gachancipá,0.3087,0.8741,0.650314347,0,29.8,30.33,2.301463152,0.001146248,1,0.001517337,Bajo,1
25297,11163,34.44,65.55,34.64,65.36,5, , , ,2, ,6, , ,4, ,3, ,51,27,39,6,67,91,85,78,61,52,65,4,21,8,20,8,4,2,5, , ,601796,828411,1430207, ,714,301,413,25297,Cundinamarca,Gachetá,0.4547,0.7083,0.653116736,0,23.4,56.03,128.1203082,0.063961301,3,0.010605162,Medio bajo,2
25299,4011,46.99,53,38.38,61.62, , , , , , , ,5, , , , , ,1,16,1, ,50,34,66,38,5,4,17,2, , ,2,4,5,5, , , ,214037,296739,510776, ,255,107,148,25299,Cundinamarca,Gama,0.4607,0.8157,0.636125745,0,27,35.29,127.3438045,0.063575168,2,0.00636598,Bajo,1
25307,105701,36.87,63.12,41.03,58.97,11, , , , ,1, ,7,26,4,15,2,5,5,14,18,38,60,124,80,102,55,92,133,85,11,10,14,55,27,46,14,24,4,659641,1501688,2161329, ,1082,330,748,25307,Cundinamarca,Girardot,0.2235,0.8577,0.680136277,0,27.3,55.06,20.44757382,0.010236422,4,0.005016237,Bajo,1
25312,8877,46.6,53.39,40.33,59.67, , , , , , ,6,3,1, , , , , , ,17,4,9,17,21,40,12,20,42,22,19, ,15,1, , , ,8, ,113931,401349,515280, ,257,57,200,25312,Cundinamarca,Granada,0.3542,0.8074,0.669789706,0,33.7,35.76,58.04663738,0.028951222,2,0.006017551,Bajo,1
25317,11372,41.55,58.44,41.52,58.48, , , ,1, , , , ,4,10, ,6, ,6,5,6,15,1,18,10,2,13,1,7,1, ,3, ,2,3,9, , , ,143858,102385,246243, ,123,72,51,25317,Cundinamarca,Guachetá,0.4261,0.776,0.658266106,0,23.4,47.78,21.65344706,0.010816039,2,0.002941411,Bajo,1
25320,39063,41.1,58.89,38.31,61.69,71, ,6,17,46,7,4,24,19,12,21,17,45,47,51,74,74,279,470,416,299,245,141,278,123,77,31,14,30,40,45,31,11,25,2565949,3572753,6138702, ,3090,1284,1781,25320,Cundinamarca,Guaduas,0.4575,0.8257,0.623780204,0,30,31.11,157.1487597,0.079102987,6,0.009722512,Medio bajo,2
